COD_UNICO_ENDERECO;COD_UF;COD_MUNICIPIO;COD_DISTRITO;COD_SUBDISTRITO;COD_SETOR;NUM_QUADRA;NUM_FACE;CEP;DSC_LOCALIDADE;NOM_TIPO_SEGLOGR;NOM_TITULO_SEGLOGR;NOM_SEGLOGR;NUM_ENDERECO;DSC_MODIFICADOR;NOM_COMP_ELEM1;VAL_COMP_ELEM1;NOM_COMP_ELEM2;VAL_COMP_ELEM2;NOM_COMP_ELEM3;VAL_COMP_ELEM3;NOM_COMP_ELEM4;VAL_COMP_ELEM4;NOM_COMP_ELEM5;VAL_COMP_ELEM5;LATITUDE;LONGITUDE;NV_GEO_COORD;COD_ESPECIE;DSC_ESTABELECIMENTO;COD_INDICADOR_ESTAB_ENDERECO;COD_INDICADOR_CONST_ENDERECO;COD_INDICADOR_FINALIDADE_CONST;COD_TIPO_ESPECI
224368343;43;4309803;430980305;43098030500;430980305000009P;26;3;99940000;CENTRO;RUA;;HONORIO GIRARDI BRAMBATTI;0;SN;;;;;;;;;;;-28.050333;-51.852788;1;1;;;;;101
72781906;43;4309803;430980305;43098030500;430980305000008P;17;4;99940000;CENTRO;RUA;;VIRGINIO BASSO;169;;;;;;;;;;;;-28.054089;-51.862829;1;1;;;;;101
72781908;43;4309803;430980305;43098030500;430980305000008P;17;4;99940000;CENTRO;RUA;;VIRGINIO BASSO;142;;;;;;;;;;;;-28.053883;-51.862749;1;1;;;;;101
72781909;43;4309803;430980305;43098030500;430980305000008P;17;4;99940000;CENTRO;RUA;;VIRGINIO BASSO;128;;;;;;;;;;;;-28.053715;-51.862644;1;1;;;;;101
111064124;43;4309803;430980310;43098031000;430980310000002P;0;59;99943000;RIO TELHA;ESTRADA;SANTA;TEREZINHA A RIO TELHA;0;SN;;;;;;;;;;;-28.147590;-51.843799;1;3;;1;;;
72781783;43;4309803;430980305;43098030500;430980305000008P;15;6;99940000;CENTRO;RUA;;G;60;;;;;;;;;;;;-28.049700;-51.864010;1;1;;;;;102
113128001;43;4309803;430980305;43098030500;430980305000005P;0;50;99940000;LINHA CAMPOS;ESTRADA;;DIVINO A PULADOR;0;SN;;;;;;;;;;;-28.065821;-51.850539;1;3;;1;;;
224368354;43;4309803;430980305;43098030500;430980305000009P;26;3;99940000;CENTRO;RUA;;HONORIO GIRARDI BRAMBATTI;0;SN;;;;;;;;;;;-28.050122;-51.852979;1;1;;;;;101
224559768;43;4309803;430980305;43098030500;430980305000002P;9;2;99940000;CENTRO;RUA;;NOVA FIUME;595;;;;;;;;;;;;-28.059217;-51.854890;1;1;;;;;101
72781787;43;4309803;430980305;43098030500;430980305000008P;15;6;99940000;CENTRO;RUA;;G;57;;;;;;;;;;;;-28.049417;-51.864056;1;1;;;;;101
72781786;43;4309803;430980305;43098030500;430980305000008P;15;6;99940000;CENTRO;RUA;;G;56;;;;;;;;;;;;-28.049281;-51.864055;1;1;;;;;102
72781907;43;4309803;430980305;43098030500;430980305000008P;17;4;99940000;CENTRO;RUA;;VIRGINIO BASSO;169;;PORAO;;;;;;;;;;-28.054089;-51.862829;1;1;;;;;101
72782203;43;4309803;430980305;43098030500;430980305000002P;1;17;99940000;CENTRO;RUA;;SETE;0;SN;;;;;;;;;;;-28.055538;-51.844670;1;6;SILO TECSOL;1;;;
108847268;43;4309803;430980305;43098030500;430980305000002P;9;2;99940000;CENTRO;RUA;;NOVA FIUME;665;;;;;;;;;;;;-28.059809;-51.855208;1;1;;;;;101
72782345;43;4309803;430980305;43098030500;430980305000002P;9;2;99940000;CENTRO;RUA;;NOVA FIUME;605;;;;;;;;;;;;-28.059339;-51.854880;1;1;;;;;101
224368345;43;4309803;430980305;43098030500;430980305000009P;26;3;99940000;CENTRO;RUA;;HONORIO GIRARDI BRAMBATTI;539;;;;;;;;;;;;-28.050170;-51.852790;1;1;;;;;101
72783483;43;4309803;430980315;43098031500;430980315000002P;0;77;99940000;VILA VITORIA;ESTRADA;;BOM JESUS;0;SN;;;;;;;;;;;-28.179115;-51.766434;1;1;;;;;101
72783483;43;4309803;430980315;43098031500;430980315000002P;0;77;99940000;VILA VITORIA;ESTRADA;;BOM JESUS;0;SN;;;;;;;;;;;-28.179115;-51.766434;1;3;CASA;1;;;
72782347;43;4309803;430980305;43098030500;430980305000002P;9;2;99940000;CENTRO;RUA;;NOVA FIUME;645;;;;;;;;;;;;-28.059668;-51.855062;1;1;;;;;101
220187553;43;4309803;430980305;43098030500;430980305000003P;30;3;99940000;CENTRO;RUA;MARECHAL;DEODORO DA FONSECA;1262;;;;;;;;;;;;-28.056471;-51.864643;1;1;;;;;101
224368351;43;4309803;430980305;43098030500;430980305000009P;26;3;99940000;CENTRO;RUA;;HONORIO GIRARDI BRAMBATTI;593;;;;;;;;;;;;-28.050052;-51.853323;1;1;;;;;101
209332127;43;4309803;430980310;43098031000;430980310000001P;3;3;99943000;RIO TELHA;RUA;;B;0;SN;;;;;;;;;;;-28.137685;-51.860974;1;6;GALPAO DOS ZANQUETTA;1;;;
220187559;43;4309803;430980305;43098030500;430980305000003P;30;3;99940000;CENTRO;RUA;MARECHAL;DEODORO DA FONSECA;1238;;;;;;;;;;;;-28.056578;-51.864353;1;1;;;;;101
72782316;43;4309803;430980305;43098030500;430980305000002P;7;1;99940000;CENTRO;RUA;;CAXAMBU;551;;;;;;;;;;;;-28.061052;-51.855639;1;1;;;;;101
224368348;43;4309803;430980305;43098030500;430980305000009P;26;3;99940000;CENTRO;RUA;;HONORIO GIRARDI BRAMBATTI;0;SN;;;;;;;;;;;-28.050111;-51.853247;1;1;;;;;101
72781784;43;4309803;430980305;43098030500;430980305000008P;15;6;99940000;CENTRO;RUA;;G;59;;;;;;;;;;;;-28.049585;-51.864000;1;1;;;;;102
208076317;43;4309803;430980315;43098031500;430980315000001P;6;1;99945000;VILA VITORIA;RUA;;A;0;SN;;;;;;;;;;;-28.177321;-51.759930;1;6;CLUBE;1;;;
209332121;43;4309803;430980310;43098031000;430980310000001P;3;3;99943000;RIO TELHA;RUA;;B;0;SN;;;;;;;;;;;-28.138037;-51.861551;1;1;;;;;101
209332121;43;4309803;430980310;43098031000;430980310000001P;3;3;99943000;RIO TELHA;RUA;;B;0;SN;;;;;;;;;;;-28.138037;-51.861551;1;3;CHACARA;1;;;
72781788;43;4309803;430980305;43098030500;430980305000008P;15;6;99940000;CENTRO;RUA;;G;55;;;;;;;;;;;;-28.049226;-51.864061;1;1;;;;;102
72781785;43;4309803;430980305;43098030500;430980305000008P;15;6;99940000;CENTRO;RUA;;G;58;;;;;;;;;;;;-28.049495;-51.864021;1;1;;;;;102
72782314;43;4309803;430980305;43098030500;430980305000002P;7;1;99940000;CENTRO;RUA;;CAXAMBU;511;;;;;;;;;;;;-28.060807;-51.856152;1;1;;;;;101
72782344;43;4309803;430980305;43098030500;430980305000002P;9;2;99940000;CENTRO;RUA;;NOVA FIUME;591;;;;;;;;;;;;-28.059210;-51.854851;1;1;;;;;101
220187556;43;4309803;430980305;43098030500;430980305000003P;30;3;99940000;CENTRO;RUA;MARECHAL;DEODORO DA FONSECA;1250;;;;;;;;;;;;-28.056474;-51.864555;1;1;;;;;101
72781903;43;4309803;430980305;43098030500;430980305000008P;17;4;99940000;CENTRO;RUA;;VIRGINIO BASSO;0;SN;;;;;;;;;;;-28.054505;-51.863043;1;1;;;;;101
111064122;43;4309803;430980310;43098031000;430980310000002P;0;59;99943000;RIO TELHA;ESTRADA;SANTA;TEREZINHA A RIO TELHA;0;SN;;;;;;;;;;;-28.146374;-51.841944;1;3;;1;;;
111064122;43;4309803;430980310;43098031000;430980310000002P;0;59;99943000;RIO TELHA;ESTRADA;SANTA;TEREZINHA A RIO TELHA;0;SN;;;;;;;;;;;-28.146374;-51.841944;1;1;;;;;101
72781905;43;4309803;430980305;43098030500;430980305000008P;17;4;99940000;CENTRO;RUA;;VIRGINIO BASSO;0;SN;;;;;;;;;;;-28.054255;-51.862863;1;1;;;;;101
72782315;43;4309803;430980305;43098030500;430980305000002P;7;1;99940000;CENTRO;RUA;;CAXAMBU;0;SN;;;;;;;;;;;-28.060822;-51.856089;1;6;RIIJJAARD BARBEARIA;1;;;
72782346;43;4309803;430980305;43098030500;430980305000002P;9;2;99940000;CENTRO;RUA;;NOVA FIUME;617;;;;;;;;;;;;-28.059378;-51.854911;1;1;;;;;101
208668228;43;4309803;430980315;43098031500;430980315000002P;0;77;99940000;VILA VITORIA;ESTRADA;;BOM JESUS;0;SN;;;;;;;;;;;-28.178910;-51.762531;1;1;;;;;101
224368346;43;4309803;430980305;43098030500;430980305000009P;26;3;99940000;CENTRO;RUA;;HONORIO GIRARDI BRAMBATTI;0;SN;;;;;;;;;;;-28.050160;-51.852982;1;1;;;;;101
224368115;43;4309803;430980305;43098030500;430980305000009P;6;3;99940000;CENTRO;RUA;;DO COMERCIO;71;;PORAO;;;;;;;;;;-28.055642;-51.853780;1;1;;;;;101
224368119;43;4309803;430980305;43098030500;430980305000009P;6;3;99940000;CENTRO;RUA;;DO COMERCIO;95;;SALA;3;;;;;;;;;-28.055539;-51.854058;1;6;BOX ARQUITETURA E ENGENHARIA;1;;;
224368126;43;4309803;430980305;43098030500;430980305000009P;7;2;99940000;CENTRO;RUA;;NOVA FIUME;203;;;;;;;;;;;;-28.056681;-51.853549;1;1;;;;;101
224368438;43;4309803;430980305;43098030500;430980305000009P;26;20;99940000;CENTRO;RUA;;DOZE;0;SN;;;;;;;;;;;-28.049385;-51.852733;1;1;;;;;101
72781590;43;4309803;430980305;43098030500;430980305000009P;6;3;99940000;CENTRO;RUA;;DO COMERCIO;71;;;;;;;;;;;;-28.055591;-51.853822;1;1;;;;;101
72781614;43;4309803;430980305;43098030500;430980305000009P;7;2;99940000;CENTRO;RUA;;NOVA FIUME;231;;APARTAMENTO;203;;;;;;;;;-28.056061;-51.853270;2;1;;;;;103
72781616;43;4309803;430980305;43098030500;430980305000009P;7;2;99940000;CENTRO;RUA;;NOVA FIUME;231;;APARTAMENTO;201;;;;;;;;;-28.056061;-51.853270;2;1;;;;;103
72781620;43;4309803;430980305;43098030500;430980305000009P;7;2;99940000;CENTRO;RUA;;NOVA FIUME;231;;ANDAR;1;TERREO;;;;;;;;-28.056001;-51.853292;1;6;GARAGEM DE AUTOMOVEIS;1;;;
208661148;43;4309803;430980305;43098030500;430980305000005P;0;1;99940000;LINHA CAMPOS;ESTRADA;;IBIACA A TRES PINHEIROS;0;SN;;;;;;;;;;;-28.081515;-51.831359;1;1;;;;;101
72783053;43;4309803;430980305;43098030500;430980305000005P;0;1;99940000;LINHA CAMPOS;ESTRADA;;IBIACA A TRES PINHEIROS;0;SN;CASA;;;;;;;;;;-28.081045;-51.841794;1;1;;;;;101
72783053;43;4309803;430980305;43098030500;430980305000005P;0;1;99940000;LINHA CAMPOS;ESTRADA;;IBIACA A TRES PINHEIROS;0;SN;CASA;;;;;;;;;;-28.081045;-51.841794;1;3;AGRICULTURA;1;;;
72783058;43;4309803;430980305;43098030500;430980305000005P;0;1;99940000;LINHA CAMPOS;ESTRADA;;IBIACA A TRES PINHEIROS;0;SN;;;;;;;;;;;-28.084054;-51.827013;1;8;IGREJA SAO JOSE;1;;;
72783060;43;4309803;430980305;43098030500;430980305000005P;0;1;99940000;LINHA CAMPOS;ESTRADA;;IBIACA A TRES PINHEIROS;0;SN;CASA;;;;;;;;;;-28.097552;-51.823271;1;1;;;;;101
72783060;43;4309803;430980305;43098030500;430980305000005P;0;1;99940000;LINHA CAMPOS;ESTRADA;;IBIACA A TRES PINHEIROS;0;SN;CASA;;;;;;;;;;-28.097552;-51.823271;1;3;AGRICULTURA;1;;;
72783061;43;4309803;430980305;43098030500;430980305000005P;0;1;99940000;LINHA CAMPOS;ESTRADA;;IBIACA A TRES PINHEIROS;0;SN;CASA;;;;;;;;;;-28.096499;-51.820374;1;1;;;;;101
72783061;43;4309803;430980305;43098030500;430980305000005P;0;1;99940000;LINHA CAMPOS;ESTRADA;;IBIACA A TRES PINHEIROS;0;SN;CASA;;;;;;;;;;-28.096499;-51.820374;1;3;AGRICULTURA;1;;;
72783064;43;4309803;430980305;43098030500;430980305000005P;0;1;99940000;LINHA CAMPOS;ESTRADA;;IBIACA A TRES PINHEIROS;0;SN;CASA;;;;;;;;;;-28.085121;-51.825507;1;3;AGRICULTURA GALPAO;1;;;
72783071;43;4309803;430980305;43098030500;430980305000005P;0;1;99940000;LINHA CAMPOS;ESTRADA;;IBIACA A TRES PINHEIROS;0;SN;;;;;;;;;;;-28.071446;-51.844577;1;6;AGRO INDUSTRIA DE CONSERVAS;1;;;
209729799;43;4309803;430980305;43098030500;430980305000007P;0;69;99940000;CENTRO;ESTRADA;;IBIACA A SANANDUVA;0;SN;;;;;;;;;;;-28.044665;-51.852583;1;7;;;1;1;
209729807;43;4309803;430980305;43098030500;430980305000007P;0;69;99940000;CENTRO;ESTRADA;;IBIACA A SANANDUVA;0;SN;;;;;;;;;;;-28.046342;-51.851250;1;7;;;1;1;
208076310;43;4309803;430980315;43098031500;430980315000001P;5;7;99945000;VILA VITORIA;RUA;;B;0;SN;;;;;;;;;;;-28.178762;-51.760069;1;1;;;;;101
208076315;43;4309803;430980315;43098031500;430980315000001P;5;7;99945000;VILA VITORIA;RUA;;B;0;SN;;;;;;;;;;;-28.178647;-51.760503;1;1;;;;;101
